"State_arrived","state_departed","movement_estimate","movement_moe"
"Indiana","Alabama",1481,1012
"Indiana","Alaska",184,248
"Indiana","Arizona",4067,1606
"Indiana","Arkansas",1056,730
"Indiana","California",7255,2349
"Indiana","Colorado",2050,885
"Indiana","Connecticut",2165,1440
"Indiana","Delaware",48,78
"Indiana","District of Columbia",251,219
"Indiana","Florida",11926,2793
"Indiana","Georgia",2117,820
"Indiana","Hawaii",90,101
"Indiana","Idaho",0,201
"Indiana","Illinois",36328,5680
"Indiana","Indiana",NA,NA
"Indiana","Iowa",1744,949
"Indiana","Kansas",1349,1584
"Indiana","Kentucky",12483,2651
"Indiana","Louisiana",621,466
"Indiana","Maine",146,175
"Indiana","Maryland",542,331
"Indiana","Massachusetts",469,325
"Indiana","Michigan",8509,1922
"Indiana","Minnesota",1599,660
"Indiana","Mississippi",699,928
"Indiana","Missouri",2373,704
"Indiana","Montana",326,403
"Indiana","Nebraska",204,245
"Indiana","Nevada",2016,1662
"Indiana","New Hampshire",0,201
"Indiana","New Jersey",1391,949
"Indiana","New Mexico",429,396
"Indiana","New York",4199,1516
"Indiana","North Carolina",5054,3016
"Indiana","North Dakota",42,71
"Indiana","Ohio",12038,2835
"Indiana","Oklahoma",986,554
"Indiana","Oregon",951,646
"Indiana","Pennsylvania",5331,1612
"Indiana","Rhode Island",37,66
"Indiana","South Carolina",1312,772
"Indiana","South Dakota",409,437
"Indiana","Tennessee",3169,2011
"Indiana","Texas",7095,2070
"Indiana","Utah",490,289
"Indiana","Vermont",40,79
"Indiana","Virginia",2096,750
"Indiana","Washington",2186,1071
"Indiana","West Virginia",10,20
"Indiana","Wisconsin",1962,998
"Indiana","Wyoming",118,187
"Indiana","Puerto Rico",136,164
"Iowa","Alabama",70,119
"Iowa","Alaska",425,314
"Iowa","Arizona",2175,924
"Iowa","Arkansas",188,163
"Iowa","California",5819,2449
"Iowa","Colorado",4472,1302
"Iowa","Connecticut",142,235
"Iowa","Delaware",0,165
"Iowa","District of Columbia",7,14
"Iowa","Florida",4397,2337
"Iowa","Georgia",498,346
"Iowa","Hawaii",71,93
"Iowa","Idaho",1382,1040
"Iowa","Illinois",10843,2085
"Iowa","Indiana",836,691
"Iowa","Iowa",NA,NA
"Iowa","Kansas",1295,647
"Iowa","Kentucky",376,370
"Iowa","Louisiana",502,380
"Iowa","Maine",0,165
"Iowa","Maryland",1444,939
"Iowa","Massachusetts",271,342
"Iowa","Michigan",350,216
"Iowa","Minnesota",5358,1295
"Iowa","Mississippi",424,312
"Iowa","Missouri",3461,1063
"Iowa","Montana",402,277
"Iowa","Nebraska",7454,2316
"Iowa","Nevada",492,383
"Iowa","New Hampshire",0,165
"Iowa","New Jersey",85,132
"Iowa","New Mexico",366,316
"Iowa","New York",489,324
"Iowa","North Carolina",1307,1263
"Iowa","North Dakota",76,101
"Iowa","Ohio",1358,722
"Iowa","Oklahoma",261,209
"Iowa","Oregon",981,655
"Iowa","Pennsylvania",318,262
"Iowa","Rhode Island",34,62
"Iowa","South Carolina",64,68
"Iowa","South Dakota",2276,840
"Iowa","Tennessee",546,484
"Iowa","Texas",3936,1299
"Iowa","Utah",3,5
"Iowa","Vermont",0,165
"Iowa","Virginia",1051,822
"Iowa","Washington",781,706
"Iowa","West Virginia",409,666
"Iowa","Wisconsin",4722,1119
"Iowa","Wyoming",434,398
"Iowa","Puerto Rico",0,165
"Kansas","Alabama",1021,853
"Kansas","Alaska",7,14
"Kansas","Arizona",2367,1568
"Kansas","Arkansas",1830,1004
"Kansas","California",4957,1654
"Kansas","Colorado",7224,2449
"Kansas","Connecticut",208,368
"Kansas","Delaware",379,605
"Kansas","District of Columbia",266,316
"Kansas","Florida",3828,1627
"Kansas","Georgia",3105,1426
"Kansas","Hawaii",167,212
"Kansas","Idaho",76,92
